video_id,comments
JPaubSOSxeM,중간에 몰입해서 급발진하는 거..ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,서로 사랑하는 모습이 참 보기 좋네요
JPaubSOSxeM,아 미치겠넼ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,"이 인간은 골프채가 아니라 낙시대구만 ㅋㅋ 낚시 좋지.  비고, 생각나고, 때 되면 뭐가 오고.
싫은 생각, 좋은 생각 다 겪어도 그걸 반추할 생각은 낚시하며 물소리 들을 때뿐이더라."
JPaubSOSxeM,저만 뒤에 아버지분 살짝 지리는 소리 난것 같은데.. 맞나요..?
JPaubSOSxeM,너무 억지로 웃기려고 하는 느낌... 한번보기에는 재밌지만 계속 다시보기 하고싶지는 않은 채널... 연기와 대본이 너무 웃기려고만하고 인위적임
JPaubSOSxeM,ㅋㅋㅋㅋㅋ
JPaubSOSxeM,아빠 야스오임? ㅋㅋ 말투가 되게 뭔가 야스오같은ㄷ
JPaubSOSxeM,영통해
JPaubSOSxeM,"캬~지리네,,,"
JPaubSOSxeM,영어 자막은 한국인이 아닌 사람들에게 필수입니다.
JPaubSOSxeM,몇번을 봐도 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,영아..?
JPaubSOSxeM,진짜 아빠는 낚시대고 뭐고 잡으러가는데 ㅎㅎㅎㅎ
JPaubSOSxeM,야채 ㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,수정씨 대역 너무 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,이세돌 신의 한수네요 ㅎㅎ
JPaubSOSxeM,서로 ㅋㅋㅋㅋㅋ디스거네  ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 낚시대
JPaubSOSxeM,서...선생님 보고있는것만으로도 숨을 쉴수가없네요...
JPaubSOSxeM,훈훈한 결말
JPaubSOSxeM,아버님 구라 치셨대 ㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,이름도 수정이네야 ㅋㅋㅋㅋ
JPaubSOSxeM,지나가던 언니가 사회생활을 잘하시네...
JPaubSOSxeM,"야채가 헬스장 카운터보시던
분이엿구나"
JPaubSOSxeM,"진심 구독했어요 
저 이런 예상 할 수도 없는 상황극 영상 좋아해요 
연극 같고 재밌어서요
재밌게 다 볼게요"
JPaubSOSxeM,가짜수정이 매력ㅋㅋㅋㅋㅋㅋ 오 뭐드셨어 이부뷴ㅋㅋㅋㅋ
JPaubSOSxeM,29살인데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ왜케 보수적이야 ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋ 걍 끊어라
JPaubSOSxeM,3:37 머리에 피가 마르면 죽어요 아부지
JPaubSOSxeM,구 우정 현 수정 쌉캐리네 ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋ 착각ㅋㅋㅋㅋ이랰
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,아버님마지막에 끙차 일어나는거 너무자연스러웠다 ㅋㅋㅋㅋ
JPaubSOSxeM,가평이래서 깜짝놀란
JPaubSOSxeM,"왜 외박을 해 남자 친구는 어디 있노 
외모는 어때 ??? 외모 외모 외모 잘 생겼어
어느 정도야 적당해???!  키는??? 키는 몇 시야
키는 몇 센치야  
160~~174 야 175~~185 야 ??? 
남자 친구 가 마음에 들어 ???? 
마음에 안 들었으면  외박 할 거야 안 할 거야  
 




👁👁 ㅋㅋㅋㅋㅋㅋ 차별녀 거절녀 외모 기준 키 기준 보는 녀들  돈보고 좋아 하는녀들 
선물때문에 처다 보는 녀들 잘봐  👁👁
경고 메시지 ⬅️🚨⚠️ 이라는걸 ☠️⚠️👁"
JPaubSOSxeM,아ㅋㅋㅋ 개웃기네
JPaubSOSxeM,아 개갑답하다 ㅋㅋㅋㅋ에휴
JPaubSOSxeM,2:59에 이세돌 신의 한수 오마주한 디테일 ㄷㄷ
JPaubSOSxeM,ㅋㅋ
JPaubSOSxeM,창과 방패 앀ㅋㅋㅋㅋ
JPaubSOSxeM,와 미쳤다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ현웃 씨게 터짐ㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,Wow amazing!! ㅋㅋㅋㅋ
JPaubSOSxeM,3:45 이게 젤 웃기다ㅋㅋ
JPaubSOSxeM,스물아홉이면 아슬아슬하지 빨리보내야됨
JPaubSOSxeM,이 영상 자꾸 보게 돼
JPaubSOSxeM,저소파 뒤에 엄마가 있었다. 그리고 세상은 멸망했다.
JPaubSOSxeM,아 알바생 여자분ㅋㅋㅋㅋㅋㅋ넘 귀여우셬ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,Adorable
JPaubSOSxeM,우리 누나는 구라치다 걸렸는데 ㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,대...애애애애 박
JPaubSOSxeM,이건 봐도봐도 레웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,야채역...... ㅋㅋㅋㅋ
JPaubSOSxeM,엄마가 젤쎄네ㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋ
JPaubSOSxeM,영상 퀄리티가 정말 말이 안되게 좋네요.. 배우분들의 연기도 날이 갈수록 발전하고 있는 것 같습니다. 영상이 올라오면 고민하지않고 클릭하게 되는 거 같아요 항상 좋은 영상 감사합니다.
JPaubSOSxeM,ㅋㅋ
JPaubSOSxeM,우정이라고 한거니? 하는거 존나 웃기네
JPaubSOSxeM,역시....아빠는 자식을 못이긴다..
JPaubSOSxeM,와 매편이 레전드네 와 ㅋㅋㅋㅋㅋ
JPaubSOSxeM,이런 이야기 보면 최고의 방어는 방패를 드는게 아니라 또 다른 칼을 쥐는건가 싶음 ㅋㅋㅋㅋ
JPaubSOSxeM,최소 5번 이상씩은 보게되는거같아...
JPaubSOSxeM,지나가는 우정이가 다한거 같은데 나머진 그냥 티키타카.
JPaubSOSxeM,내딸이름 수정인데 ㅅㅂ
JPaubSOSxeM,개그영상중에 제일 재밌고 제일 많이 웃고 제일 크게 웃었다 ㅋㅎㅋㅎㅋㅎ 너덜트 최곸ㅎㅎㅋㅎㅋㅎㅋ
JPaubSOSxeM,3:48 분노조절잘해 ㅋㅋㅋ
JPaubSOSxeM,음소거기능이 없는건가..ㅋㅋ
JPaubSOSxeM,와 ㅈㄴ 무섭다 왠만한 스릴러보다 더 무서워 ㄷㄷㄷㄷㄷ
JPaubSOSxeM,와 ㅋㅋㅋ 육성으로 웃었네 ㅋㅋㅋ
JPaubSOSxeM,최근 유투브에 널려있는 동종업계 작품중 최고최고최고~~~~ 이번건 숏박스도 못따라온다. 치킨먹다 괴성지르고 웃다가 다 튀고 다 흘렸음. 치킨값 물어줘요 ㅠㅠ
JPaubSOSxeM,"남친 한테 헤어지라고...
결혼 하면 힘들어진다고 말해주고싶다"
JPaubSOSxeM,지려버리넼ㅋ
JPaubSOSxeM,"조선시대냐.,"
JPaubSOSxeM,ㅋ
JPaubSOSxeM,보는 사람도 쫄깃
JPaubSOSxeM,전화 바꾸는거 되게 민폐야 하는거 ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,"딸 키웁니다
저는 더하면 더했지..
저 아버지 양반이시네"
JPaubSOSxeM,"ㅋㄱㄲㅋ 루어꾼이지만 낚시대, 릴 등등
공감합니다."
JPaubSOSxeM,부계파는건 알면서 영상통화는 모르는 그는 도덕책...
JPaubSOSxeM,하하하~~전 아빠한테 통화하면 아빠 언제 집에와? 였는데
JPaubSOSxeM,망나니처럼 새벽5시까지 연락두절 외박을 5번가량 반복하면 부모님도 포기하시고 연락만 받으라고 부탁해오심ㅎㅎ 20대면 부모님 말씀만 들을 나이는 지났지 머
JPaubSOSxeM,졸라 웃기다 마지막에 대박이다 이거 ㅋㅋ
JPaubSOSxeM,zzzzzzzzzzzzzzzzzㅈㄴ 재밋네 (아직안봄)
JPaubSOSxeM,겁나웃끼네 ㅋㅋ
JPaubSOSxeM,낮에 가라고... ㅋㅋ
JPaubSOSxeM,아빠 인스타에는 낚시대가 안 보여요~ ㅋㅋㅋ
JPaubSOSxeM,미쳤다 ㅅㅂ
JPaubSOSxeM,스릴러와 사필귀정을 5분안에 쑤셔넣으면 이런게 나오는구나.... 미쳤다..
JPaubSOSxeM,"몇번을 봐도 최고다 당근마켓, 하하 롤등 최고다"
JPaubSOSxeM,몰입감 개쩌네 ㅋㅋㅋ
JPaubSOSxeM,Small dick men's insecurity is what the skit is about
JPaubSOSxeM,아이디어 진짜 좋다 ㄴㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,여자분 매력이...ㄷㄷ 이 편 호흡이 개인적으로 전 레전드인듯 합니닼ㅋㅋㅋㅋㅋ
JPaubSOSxeM,거짓말 없는 세상이 오면 좋겠다.....
JPaubSOSxeM,부모님들 보시면 항상 영통을 하세요. 시도때도없이!
JPaubSOSxeM,소파 뒤에서 엄마 나왓으면 완벽한데ㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,그래서 수정이는 언제 보여줘ㅇ?
JPaubSOSxeM,졸라 잼있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,어휴 29살한테 저렇게 집착 하시는거 진짜 숨 막혀요^^;;;;;
JPaubSOSxeM,부모공감
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,하 머리아프다 저런아빠 힘든데ㅋㅋ
JPaubSOSxeM,좀 선넘? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,레전드.......편
JPaubSOSxeM,아ㅋㅋㅋㅋㅋㅋㅋㅋ미쳨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,최고의 방어는 공격~~~ㅎㅎ
JPaubSOSxeM,너덜트 처음알았음/  나빼고 너네끼리보기있음?ㅋㅋ
JPaubSOSxeM,내여친이 아영이고  남친있는거 가족들에게 비밀이고 낼 계곡가는데
JPaubSOSxeM,구독자 늘어나는 소리가 여기까지 들리네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,와 진짜 5분 순삭 되네요ㅎㅋ 영상도 3번 째 보는 중! 아니 근데 댓글말대로 수정님이 캐리긴 한데 그렇게 캐리한 걸 아버님한테 사실대로 말해버리는 것도 웃기네여 ㅋㅋㅋ 역시 너덜트!!  600만 조회수 대박이네영!
JPaubSOSxeM,부모님한테 이게 알고리즘 타서 유튜브 보는 부모님이 봐버렸다 .. 외박 허락받느라 얘기했더니 이거처럼 그러는거 아니냐했다 .. ㅂㄷㅂㄷ… 솔직하게 말해도 이러는거 아니냐는…. 23년 유교걸 끝내고싶다ㅠㅠㅠㅠㅠㅠㅠ
JPaubSOSxeM,와 이거 팬되것어 ㅋ 우리 수정씨 급 발진할뻔했내유
JPaubSOSxeM,아 ㅋㅋㅋ ㅈㄴ 웃겨 ㅋㅋㅋㅋ
JPaubSOSxeM,우와//// 너무  잼있어요.. 완전 신세계/
JPaubSOSxeM,너덜트 중 가장 잼나게 봤네요~~
JPaubSOSxeM,구라치시는거 아니죠?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,'인과응보'
JPaubSOSxeM,개웃기네 수정님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,마지막쇼파뒤에엄마나왔어야 레전드그리고 아영이한테저나하기ㅋ
JPaubSOSxeM,최고다 ㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,개웃기네ㅋㅋㅋㅋ 개그는반복
JPaubSOSxeM,아저씨화내는거소리치는거어 개존나웃기다아 말하는거개웃기다아 ㅎㅎㅎㅎㅎㅎㅋㅋㅋ미치겄다아
JPaubSOSxeM,어딜가든 비슷한 나이또래 여자분한테 사진 찍자고 하면 다 찍어줌... 전국의 제 친구들 모두 감사하고 건강하세요
JPaubSOSxeM,아 다른 남자랑 바람피는거 감시하는 남친같이 구는 아빠 너무 소름돋음...
JPaubSOSxeM,미친듯이 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,7월 10일 20시 9분
JPaubSOSxeM,바둑판 이세돌 알파고 경기네
JPaubSOSxeM,"안녕하세요. 저는 미국인 Mr.Lober입니다. 1988~1989년에 파주 #봉일천 #캠프하우저 에서 근무했던 미군입니다. 그 당시 봉일천에 있던 #클럽문 만났던 #진수미 씨를 찾고 있습니다. 물론 이름은 가명일수도 있으며 발음상 오류가 있을 수도 있습니다. 저는 단지 진수미의 안녕과 행복을 확인하고 싶습니다.사소한 정보라도
좋습니다. 제가 그녀를 찾을 수 있도록 도와주시기 바랍니다. 읽어주셔서 감사합니다."
JPaubSOSxeM,신의 한수 ㅋㅋㅋㅋㅋ
JPaubSOSxeM,진짜 하루에 한번씩 보러온다 ㅋㅋㅋ
JPaubSOSxeM,????: 아니 그러게 수정이랑 있다할때 그런줄 알지 꼭 궁극기 꼽게 만드네
JPaubSOSxeM,마지막에 수정이 뒤돌아서 뿌듯한 표정까지 기대했는데 ㅋㅋㅋㅋ
JPaubSOSxeM,"와,,,,, 숨이 쉬어지질않는 호흡이다...."
JPaubSOSxeM,아영님 푸들같고 너무귀여워요
JPaubSOSxeM,어째서 내이름과 베프이름이....ㅋㅋㅋㅋㅋ 아영이한테 보내줬더니 자기도 받았다며ㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,개인적으로 현 시점 너덜트 최고작
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역대급이네
JPaubSOSxeM,먹이사슬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,팔로우 받아라 ㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋ
JPaubSOSxeM,스피커 폰 키면될걸 ㅋㅋㅋㅋ
JPaubSOSxeM,부전녀전
JPaubSOSxeM,"와 바둑판도 이세돌 알파고전 신의한수네ㅋㅋㅋㅋㅋ디테일, 개연성 미쳤다.."
JPaubSOSxeM,"딸은 인스타하고 아빠는 밴드하는거
왜이리 깨알같냐 ㅋㅋ ㅋ"
JPaubSOSxeM,뒤로가면서 반전나오고 같은 대사 주고받는게 킬포인트
JPaubSOSxeM,부녀지간에 신뢰가 아주 두터워
JPaubSOSxeM,마치 진실을 감춤으로서 평화가 유지되는 JSA 공동경비구역 영화가 생각나네요
JPaubSOSxeM,하하하 엄청웃었네요 ㅋㅋㅋ
JPaubSOSxeM,이거 재밌어서 계속봤는데 대사 대워움ㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,3:45 공수교대
JPaubSOSxeM,ㅅ........ㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅈㄴ 웃었네
JPaubSOSxeM,노잼
JPaubSOSxeM,아 겁나 웃었네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,1:50 이거 진짜 레전드 드립ㅋㅋ
JPaubSOSxeM,와 ㅋㅋㅋ 진짜 대박 잘만들었다ㅋㅋ
JPaubSOSxeM,엌ㅋㅋ 극적타협
JPaubSOSxeM,진짜 볼때마다 티키타카가 물흐르듯이 나오는게 진짜 ㅋㅋㅋ
JPaubSOSxeM,"이세돌 알파고 기보였네ㅋㅋ ""그래서 내가 부계라는 걸 파봤다"" 라는 대사 치면서 바로 다음 장면이 이세돌의 '신의 한 수'로 불리는 78수를 두시네요ㅋㅋㅋㅋ 의표를 찌른 것을 이렇게 표현하다니 연출 지리십니다."
JPaubSOSxeM,이걸 이제 보다니.. 미쳤.. 와.. 대박.. ㅋㅋㅋㅋㅋ
JPaubSOSxeM,그 와중에 아버지가 두고 있는 바둑이 이세돌 알파고 4국이네ㅋㅋㅋㅋ2:59 부계 팔로우 받으라는 이야기 할 때 소위 신의 한수로 일컬어지는 78수 두는 디테일ㅋㅋㅋ
JPaubSOSxeM,아...난 낚싯대 어디에 숨기지???큰일이네
JPaubSOSxeM,야채 처자 보통분이 아니네
JPaubSOSxeM,정맡 편의점 이후 예술적으로도 길이남을 역작이라 본다. 선덴스영화제에 출품해야 함.
JPaubSOSxeM,3:00 이세돌 알파고전 신의 한수
JPaubSOSxeM,29면 좀 봐주세요 아버님~~
JPaubSOSxeM,아빠 연기 좋네. 아카데미 남우 주연상 가자.
JPaubSOSxeM,와우...아버지가 말빨이쎄셬ㅋㅋㅋ마지맏에 아영이도 와 대박이다 이전편 재밌음
JPaubSOSxeM,부녀가 전생에 서로 암행어사였나봨ㅋㅋㅋㅋㅋ서로 왤캐 정보력이 지려
JPaubSOSxeM,앜ㅋㅋㅋㅋㅋ 존낭 ㅅ겨 ㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와우
JPaubSOSxeM,최선의 방어는 공격이군요
JPaubSOSxeM,존나재밌네.
JPaubSOSxeM,낚시대의 역습이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,암걸리겟넼ㅋㅋㅋㅋ
JPaubSOSxeM,"아직 어리지만 딸도 키우는 아빠의 입장인데 저런 아빠 되지 말아야지 싶네요, 진짜 혐오스러울 정도... 저정도면 부녀 관계 유지하기 힘들텐데..."
JPaubSOSxeM,재밌긴한데 딸바보아빠 설정이 좀 과한듯 29살에 어떤 부모가 남친이랑 여행가는걸 뭐라할까 결혼적령기 나이인데 20살 초중반이였으면 괜찮았을듯
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,숨막히는 공방전
JPaubSOSxeM,ㅋㅋㅋㅋ진짜 존나웃기네ㅠ
JPaubSOSxeM,"미쳤다ㅋㅋㅋ
무슨 티키타카 보는것같네ㅋㅋ
입담으로는 부녀지간이 바르셀로나급이네ㅋㅋ"
JPaubSOSxeM,ㅋㅋㅋ 대박 처음봤는데..
JPaubSOSxeM,썸네일 조이인줄
JPaubSOSxeM,이편 개웃기네 ㅋㅋㅋㅋㅋㅋ 연기 진짜 찰떡 ㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋ와딘짜존잼
JPaubSOSxeM,어후 ㅋㅋㅋㅋ안끝나안씉낰ㅋㅋㅋㅋ
JPaubSOSxeM,여자친구 짱이다👍👍👍👍👍
JPaubSOSxeM,29살 ㅠㅠ 진짜 ㅋㅋ
JPaubSOSxeM,아 미치겠넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,짱임
JPaubSOSxeM,낚시대.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,최종실세는 어머니셨어 ㅋㅋㅋ
JPaubSOSxeM,"딸아이가 가출하는 이유,"
JPaubSOSxeM,아닠ㅋㅋ 더보기란에 야채역 뭐옄ㅋㅋㅋ
JPaubSOSxeM,아영님 짧대 잘보고있어요 ㅋㅋㅋㅋㅋ
JPaubSOSxeM,"공방 살발하네,,"
JPaubSOSxeM,스물아홉인데 ㅋㅋㅋㅋ 와우
JPaubSOSxeM,와! 영아!
JPaubSOSxeM,21살도 아니고 29살인데 남친이랑 여행간다는데 화낼 아버지가 어딨어ㅋㅋㅋ
JPaubSOSxeM,아영세상화이팅
JPaubSOSxeM,팔로우 받아랔 ㅋ ㅋ ㅋ
JPaubSOSxeM,왜이렇게 웃겨
JPaubSOSxeM,진짜 레전드다
JPaubSOSxeM,야채 저분 혹시 뷰티 인사이드 강사라 비서 역으로 나오신 분인가 닮으셨네
JPaubSOSxeM,너덜트 보는데 너덜트광고가 나오네 심지어 재미도있어
JPaubSOSxeM,광고로 너덜트가 나오고 영상으로 너덜트를 보는 기분은 신기하네요 유튜브 프리미엄 때문에 광고 볼일이 없어서 오늘 딱 구독풀린 첫째날에 첫 광고를 너덜트 광고 ㄷ ㄷ
JPaubSOSxeM,엄마가 킹왕짱!
JPaubSOSxeM,구독하고 가야겠다.
JPaubSOSxeM,미쳐진짜 ㅋㅋㅋㅋㅋ수정씨 진정해여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,1000만 가나??
JPaubSOSxeM,자녀를 엄하게 키우면 자녀는 그냥 훌륭한 구라쟁이로 성장합니다... 모든 상황에 대처할만한 계획을 세우고 딴짓을 합니다
JPaubSOSxeM,아니 이렇게 재능 넘치는 분들을 유튜브에서만 볼 수 있다늬 ㅋㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,대박! 너무 웃겨 ㅋㅋㅋㅋ
JPaubSOSxeM,수정이 역할 하신 배우분 뷰티인사이드 4화에 이다희비서역할로 나오셨어요!!
JPaubSOSxeM,"I just saw a clip by comic Mart duo and then yours
You are on another level 😂"
JPaubSOSxeM,"아버님이 속초사람이니?
내가 속초사람이잔니"
JPaubSOSxeM,ㅎㅎㅎㅎㅎㅎㅎ
JPaubSOSxeM,"와이프랑 연애하던 시절 동해바다 가서 저녁에 공중전화박스 줄 서서 있는데 바로 앞 여자분이 부탁을 해서
제가 해줘~  당시 여친이 그분의 어머님과 통화를 해 줬죠.
그때 여자분도 이름이 수정????"
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
JPaubSOSxeM,명작이다. 명작
JPaubSOSxeM,THIS IS SO FUNNY!!
JPaubSOSxeM,3:00 뭔가 했더니 AlphaGo vs 이세돌 바둑이었네 ㅋㅋㅋㅋ
JPaubSOSxeM,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 이거뭐얔ㅋㅋ웃곀ㅋㅋㅋ
JPaubSOSxeM,이거 자주 보러옴ㅋㅋㅋ
JPaubSOSxeM,짧대 아영님이라는 언급이 없넹 ㅠㅠ
JPaubSOSxeM,L과 라이토의 두뇌싸움을 본것같은 웅장함이다
JPaubSOSxeM,소파에 퐁고 인형 있네 ㅠㅠㅠㅠ 달마시안 퐁고♡
JPaubSOSxeM,😃
JPaubSOSxeM,아 너무 웃기네옄ㅋㅋㅋㅋ
JPaubSOSxeM,바둑판 이세돌알파고 4국 내용이네요
